ESCOURI,ID,UUID,ORIGINUUID,ISCOGROUPCODE,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE,REGULATEDPROFESSIONNOTE,OCCUPATIONTYPE
http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f,Key_20505001,,,5223,5223.7.16_1,fish and seafood specialised seller,"fresh fish salesperson
fish market salesperson
fish and seafood specialized seller
fresh seafood specialised seller
fresh fish counter specialised seller
fish stall specialised seller
fish salesperson
fresh fish specialised seller
fresh seafood salesperson
fish market specialised seller
seafood specialised seller
fisheries shop salesperson
fresh fish shop salesperson
seafood salesperson
fish specialised seller
fisheries salesperson
fisheries shop specialised seller
fisheries specialised seller
fish stall salesperson
fishmongers shop specialised seller","Fish and seafood specialised sellers sell fish, crustaceans and molluscs in specialised shops. 
 ",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,Key_20506001,,,1322,1322.1.2_1,oil and gas production manager,"gas field production manager
oil and gas production scheduler
oil operations manager
oil and gas production project manager
gas production scheduler
gas operations manager
oilfield production manager
oil and gas production manager
oil field production manager
oil production project manager
oil production scheduler
gas production manager
gasfield production manager
oil production manager
oil and gas operations manager
gas production project manager","Oil and gas production managers coordinate and implement short and medium term oil and gas production schedules and plans, such as drilling, extraction operations and waste management. They steer one or more units and oversee the implementation of technical and human means, within the framework of objectives of volume, quality and planning. Oil and gas production managers design and ensure that the production plans and schedules are met.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5,Key_20507001,,,3117,3117.3_1,metallurgical technician,"metallurgy test technician
mining technician
minerals technician
quality technician, metals
metallurgy technician
metallurgical technician
development metallurgist
metallurgical research technician
metallurgist
metallurgy research technician
metallurgical test technician
extraction technician
laboratory metallurgist
metallurgy quality technician
metallurgical quality technician","Metallurgical technicians provide technical support in researching and performing experiments on minerals, metals, alloys, oil and gas. They also assist in improving the methods of extraction.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,Key_20508001,,,8151,8151.3_1,spinning textile technician,"spinning and winding supervisor
textile technician for spinning
spinning textile technician
spinning mill  manager
textile spinning technician
textile spinner
spinning textile operator
spinning supervisor
spinner technician
spinning process operator",Spinning textile technicians perform operations related to setting up spinning processes.,,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/0663d464-f139-4554-ae87-97aa6c4dad77,Key_20509001,,,7122,7122.3_1,resilient floor layer,"vinyl floor installer
resilient floor layer
layer of resilient floor
linoleum installer
floor layer (resilient)
resilient floor installer
linoleum layer
vinyl tile installer
laminate floor installer
resilient flooring installer","Resilient floor layers place prefabricated tiles or rolls of flooring materials such as linoleum, vinyl, rubber or cork to serve as floor covering.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/0663da10-e42c-41e8-992c-07d00ac97bea,Key_20510001,,,3119,3119.16.6_1,textile quality technician,"textile texting technician
textile quality technician
textile quality laboratory analyst
textile laboratory technician
physical testing laboratory technician",Textile quality technicians perform physical laboratory tests on textile materials and products. They compare textile materials and products to standards and interpret results.,,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/066a9d8f-3948-409c-a3cf-ed8ed37cfe22,Key_20511001,,,7516,7516.1_1,curing room worker,"tobacco drying machine operator
curing room operative
tobacco curing room worker
curing room assistant
tobacco drier
tobacco roaster
tobacco curer
tobacco dryer
tobacco drier operator
tobacco drying worker
tobacco drying machine tender
curing room attendant
curing room worker","Curing room workers assist in the blending, aging, and fermenting of tobacco strips and stems for the production of cigars, chewing tobacco and snuff.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/066fe11d-10e4-4fec-bd27-3e78797500b9,Key_20512001,,,8122,8122.8_1,enameller,"metal enameller
platinum enameller
enamel machine operator
cast metal enameller
enamel dipper
dipping machine technician
gold enameller
enamel dipper operator
coating and dipping operator
enameler
enamel dipping machine operator
dipping machine apprentice
engineering dipper
silver enameller
enamel machine technician
copper enameller
jewelery artist
dipper
coating and enamelling operator
enamel machine apprentice","Enamellers embellish metals such as gold, silver, copper, steel, cast iron or platinum by painting it. The enamel they apply, consists of coloured powdered glass.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,Key_20513001,,,2423,2423.6_1,recruitment consultant,"job placement officer
recruitment consultant
employee recruiter
temporary labour officer
recruiting process consultant
head hunter
recruitment officer
temporary labour agent
employment agent
job placement consultant","Recruitment consultants provide the suitable candidates to employers according to the specific job profile requested. They perform testing and interviewing with job seekers, shortlist few candidates to present to the employers and match candidates to appropriate jobs. Recruitment consultants maintain relationships with employers to offer their services on a more long-term basis.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,Key_20514001,,,2120,2120.1_1,actuarial consultant,"actuaries
actuarial analyst
actuarial clerks
actuarial analysts
health actuary
actuarial adviser
actuarial advisor
insurance actuaries
actuarial mathematicians
health actuaries
actuarial clerk
actuarial mathematician
consulting actuary
insurance actuary
actuarial consultant
actuarial advisors
consulting actuaries
actuary","Actuarial consultants analyse, manage and provide guidance on financial impact of risks. They can work in fields related to insurance, pension, investment, banking, healthcare etc. Actuarial consultants apply technical and statistical models and theories to give strategic, commercial, and financial advice.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/068df7d1-516f-4829-b339-294cb0cf6318,Key_20515001,,,2166,2166.11_1,performance lighting designer,"lighting designer
lighting technician and designer
lighting designer & technician
performance lighting creator
lighting technician & designer
lighting designer and technician
theatre lighting designer","Performance lighting designers develop a lighting design concept for a performance and supervise the execution of it. Their work is based on research and artistic vision. Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision. Therefore, the designers work closely with artistic directors, operators and the artistic team. During rehearsals and performance, they coach the operators to obtain optimal timing and manipulation. Performance lighting designers develop lighting plots, cue lists and other documentation to support the operators and production crew. They sometimes also work as autonomous artists, creating light art outside a performance context.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/06ac0f53-431e-4bc6-acb8-2f5da041b5d3,Key_20516001,,,2653,2653.1.2_1,dance répétiteur,"assistant choreographer
dance répétiteur
assistant choreographer and repetiteur
dance tutor
dance rehearsal director
assistant choreographer and répétiteur","Dance répétiteurs assist conductors and choreographers in directing rehearsals and guiding the artists in the rehearsal process. Regardless of their nature and scope, a répétiteur's actions are, from an ethical and practical standpoint, based on a commitment to respect the integrity of the work. ",,Excludes people working in an educational work context.,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9,Key_20517001,,,7412,7412.1_1,automotive battery technician,"automotive battery tester
battery installer
truck battery technician
bus battery technician
lorry battery technician
dry cell battery technician
automotive battery installer
coach battery technician
dry cell installer
car battery installer
automobile battery technician
dry cell repairer
technician of automotive batteries
automotive battery technician
car battery technician
automotive battery repairer
automotive battery assembler
motor vehicle battery technician
installer of automotive batteries
dry cell tester
motor vehicle battery installer
vehicle battery technician
automobile battery installer","Automotive battery technicians assemble, install, inspect, maintain and repair batteries in motor vehicles. They use electrical test equipment to confirm good working condition after installation. They evaluate batteries to determine the nature of power problems. They also prepare old batteries for disposal.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/06f89f2c-c6e9-40c5-a4a5-0e34d5fbc184,Key_20518001,,,2163,2163.1.3.2_1,footwear designer,"shoe designer
footwear designer
footwear CAD designer
women's footwear designer
men's footwear designer
footwear technologist
footwear CAD technical designer
footwear stylist
footwear fashion designer
footwear designer and developer
sports footwear designer
footwear designer & developer
shoe stylist
children's footwear designer
fashion footwear designer","Footwear designers perform fashion trends analysis, forecasting and market research, create footwear concepts and build collection lines by operating mood or concept boards, colour palettes, materials, drawings and sketches etc. They conduct the sampling process, make footwear prototypes and samples for presentations aimed to promoting the footwear concepts and collections. They identify the range of materials and components, define the design specifications by collaborating with the technical team and review the footwear samples, prototypes, and collections.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763,Key_20519001,,,1120,1120.5_1,public employment service manager,"jobcentre manager
public employment service manager
jobcentre plus manager
employment service manager
DWP manager
national careers service manager
careers advice manager
department of work and pensions manager
job centre manager",Public employment service managers supervise the operations of a public employment agency. They oversee the staff that helps people find employment or provide occupational guidance.,,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/072279cf-ed39-47e7-af23-ee6df571eb24,Key_20520001,,,7532,7532.3_1,clothing product grader,"clothing patternmaker
clothing product grader
pattern developer/grader
clothing product tester
fabric pattern grader",Clothing product graders produce patterns in different sizes (i.e. scaled-up and scaled-down) to reproduce the same wearing apparel in different sizes. They draft patterns by hand or using software following size charts.,,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,Key_20521001,,,1112,1112.6_1,public administration manager,"public administration director
public institution director
public body manager
public administrator
district council manager
public service administrator
county council manager
public body administrator
public service director
public administration manager
local authority officer
chief of staff
civil service administrator
city administrator
government department manager","Public administration managers direct, monitor and evaluate the implementation of government policies. They supervise staff and manage resources used for implementation, and write reports on the implementation process. They also communicate with government officials and the public to inform them on the policies. Public administration managers may also participate in the design and creation of public policies.",,,http://data.europa.eu/esco/regulated-professions/unregulated,LOCAL
