OCCUPATIONTYPE,OCCUPATIONID,RELATIONTYPE,SKILLID
esco,key_20496,essential,key_20157
esco,key_20496,essential,key_20386
esco,key_20496,optional,key_19598
esco,key_20497,optional,key_20049
esco,key_20497,optional,key_20377
esco,key_20497,optional,key_19536
esco,key_20498,optional,key_19458
esco,key_20498,optional,key_19516
esco,key_20499,essential,key_19454
esco,key_20499,essential,key_20261
esco,key_20500,optional,key_19499
esco,key_20501,essential,key_20331
esco,key_20502,essential,key_19747
esco,key_20502,essential,key_19815
esco,key_20502,essential,key_20088
esco,key_20502,essential,key_20148
esco,key_20502,optional,key_20408
esco,key_20503,essential,key_19599
esco,key_20503,essential,key_19451
esco,key_20503,essential,key_19865
esco,key_20503,optional,key_20216
esco,key_20504,essential,key_19546
esco,key_20504,optional,key_20150
esco,key_20504,optional,key_20319
esco,key_20505,essential,key_20056
esco,key_20505,essential,key_19458
esco,key_20505,essential,key_19730
esco,key_20505,essential,key_20091
esco,key_20505,essential,key_20096
esco,key_20506,essential,key_19860
esco,key_20507,essential,key_20016
esco,key_20507,essential,key_20124
esco,key_20507,optional,key_20259
esco,key_20507,optional,key_19499
esco,key_20507,optional,key_19860
esco,key_20509,essential,key_19713
esco,key_20509,optional,key_19499
esco,key_20510,essential,key_19920
esco,key_20510,optional,key_19681
esco,key_20511,essential,key_19583
esco,key_20511,essential,key_19867
esco,key_20511,essential,key_19460
esco,key_20511,essential,key_19677
esco,key_20511,essential,key_20006
esco,key_20512,essential,key_19629
esco,key_20512,optional,key_19575
esco,key_20513,essential,key_19886
esco,key_20514,essential,key_20049
esco,key_20514,essential,key_19878
esco,key_20514,optional,key_20224
esco,key_20515,essential,key_19514
esco,key_20515,essential,key_20150
esco,key_20515,optional,key_19886
esco,key_20515,optional,key_19546
esco,key_20516,essential,key_19886
esco,key_20516,essential,key_19849
esco,key_20516,optional,key_19797
esco,key_20516,optional,key_20107
esco,key_20516,optional,key_20403
esco,key_20518,essential,key_20115
esco,key_20518,essential,key_20295
esco,key_20518,essential,key_20372
esco,key_20518,optional,key_19590
esco,key_20518,optional,key_19710
esco,key_20519,essential,key_19886
esco,key_20519,optional,key_20101
esco,key_20519,optional,key_20264
esco,key_20519,optional,key_20361
esco,key_20520,essential,key_19492
esco,key_20520,essential,key_19690
esco,key_20520,essential,key_19920
esco,key_20521,essential,key_19590
esco,key_20521,essential,key_20273
esco,key_20522,essential,key_19449
esco,key_20522,essential,key_20224
esco,key_20522,essential,key_20293
esco,key_20523,essential,key_20249
esco,key_20523,optional,key_19968
esco,key_20524,essential,key_20049
esco,key_20525,essential,key_19886
esco,key_20525,essential,key_19649
esco,key_20525,essential,key_19875
esco,key_20525,essential,key_20107
esco,key_20525,optional,key_19797
esco,key_20526,essential,key_19590
esco,key_20526,essential,key_20295
esco,key_20526,essential,key_20372
esco,key_20526,optional,key_20115
esco,key_20527,optional,key_19599
esco,key_20527,optional,key_20225
esco,key_20528,essential,key_19514
esco,key_20528,essential,key_20150
esco,key_20528,optional,key_19886
esco,key_20528,optional,key_19546
esco,key_20529,optional,key_19718
esco,key_20529,optional,key_20404
esco,key_20530,essential,key_19830
esco,key_20530,essential,key_20415
esco,key_20531,essential,key_19646
esco,key_20531,essential,key_19959
esco,key_20531,optional,key_19429
esco,key_20531,optional,key_19653
esco,key_20531,optional,key_19943
esco,key_20531,optional,key_19973
esco,key_20531,optional,key_20102
esco,key_20531,optional,key_20106
esco,key_20531,optional,key_20121
esco,key_20531,optional,key_20155
esco,key_20531,optional,key_20168
esco,key_20531,optional,key_20384
esco,key_20531,optional,key_19654
esco,key_20531,optional,key_20154
esco,key_20533,essential,key_19886
esco,key_20534,essential,key_19458
esco,key_20534,essential,key_19516
esco,key_20534,essential,key_19566
esco,key_20534,essential,key_19590
esco,key_20534,optional,key_20282
esco,key_20534,optional,key_20207
esco,key_20536,essential,key_19556
esco,key_20536,optional,key_19651
esco,key_20536,optional,key_19734
esco,key_20536,optional,key_19872
esco,key_20536,optional,key_20154
esco,key_20536,optional,key_20204
esco,key_20537,essential,key_19546
esco,key_20537,optional,key_20150
esco,key_20538,essential,key_20359
esco,key_20538,essential,key_19860
esco,key_20539,essential,key_19960
esco,key_20539,essential,key_19857
esco,key_20539,essential,key_20407
esco,key_20539,optional,key_20377
esco,key_20540,essential,key_19753
esco,key_20540,essential,key_19712
esco,key_20541,essential,key_20314
esco,key_20541,optional,key_19512
esco,key_20541,optional,key_19803
esco,key_20541,optional,key_19814
esco,key_20541,optional,key_20243
esco,key_20542,essential,key_19776
esco,key_20544,essential,key_20386
esco,key_20544,optional,key_19451
esco,key_20544,optional,key_19865
esco,key_20544,optional,key_19942
esco,key_20545,essential,key_19476
esco,key_20546,essential,key_20025
esco,key_20546,essential,key_20154
esco,key_20546,optional,key_20179
esco,key_20547,essential,key_19590
esco,key_20548,essential,key_20066
esco,key_20548,essential,key_20107
esco,key_20549,optional,key_19438
esco,key_20549,optional,key_19831
esco,key_20550,essential,key_20056
esco,key_20550,essential,key_20410
esco,key_20550,optional,key_19701
esco,key_20550,optional,key_19988
esco,key_20551,optional,key_19574
esco,key_20553,essential,key_19741
esco,key_20553,essential,key_19758
esco,key_20554,essential,key_20355
esco,key_20555,optional,key_20082
esco,key_20556,optional,key_19455
esco,key_20556,optional,key_19664
esco,key_20558,optional,key_19973
esco,key_20558,optional,key_20179
esco,key_20559,optional,key_20016
esco,key_20560,optional,key_19510
esco,key_20560,optional,key_19782
esco,key_20561,essential,key_19556
esco,key_20562,optional,key_20359
esco,key_20562,optional,key_19952
esco,key_20563,optional,key_19438
esco,key_20563,optional,key_19831
esco,key_20564,essential,key_19556
esco,key_20564,essential,key_20204
esco,key_20564,optional,key_19590
esco,key_20564,optional,key_19651
esco,key_20564,optional,key_19665
esco,key_20564,optional,key_19734
esco,key_20564,optional,key_19872
esco,key_20565,essential,key_19959
esco,key_20565,essential,key_20096
esco,key_20566,essential,key_19926
esco,key_20566,optional,key_20021
esco,key_20566,optional,key_19558
esco,key_20566,optional,key_20345
esco,key_20566,optional,key_20400
esco,key_20567,essential,key_19556
esco,key_20567,optional,key_19651
esco,key_20567,optional,key_19665
esco,key_20567,optional,key_19734
esco,key_20567,optional,key_19872
esco,key_20567,optional,key_20154
esco,key_20567,optional,key_20204
esco,key_20568,essential,key_19614
esco,key_20568,essential,key_19478
esco,key_20568,essential,key_19572
esco,key_20568,essential,key_19582
esco,key_20568,essential,key_19633
esco,key_20568,essential,key_20024
esco,key_20568,optional,key_19916
esco,key_20569,essential,key_20340
esco,key_20569,optional,key_20119
esco,key_20569,optional,key_19499
esco,key_20570,optional,key_19646
esco,key_20571,essential,key_20101
esco,key_20571,optional,key_20146
esco,key_20572,essential,key_19764
esco,key_20572,essential,key_20036
esco,key_20572,essential,key_20018
esco,key_20572,optional,key_19773
esco,key_20572,optional,key_19947
esco,key_20573,essential,key_20396
esco,key_20573,essential,key_20386
esco,key_20573,optional,key_19909
esco,key_20573,optional,key_20045
esco,key_20573,optional,key_20051
esco,key_20573,optional,key_20333
esco,key_20573,optional,key_20338
esco,key_20573,optional,key_19451
esco,key_20573,optional,key_19865
esco,key_20573,optional,key_19942
esco,key_20574,optional,key_20367
esco,key_20575,essential,key_19613
esco,key_20575,essential,key_19633
esco,key_20575,essential,key_19685
esco,key_20575,essential,key_19916
esco,key_20575,essential,key_20024
esco,key_20575,optional,key_19840
esco,key_20575,optional,key_19675
esco,key_20575,optional,key_19722
esco,key_20575,optional,key_20211
esco,key_20576,essential,key_20076
esco,key_20577,essential,key_20266
esco,key_20577,optional,key_19830
esco,key_20577,optional,key_20137
esco,key_20578,essential,key_20157
esco,key_20578,essential,key_20154
esco,key_20579,essential,key_20364
esco,key_20579,essential,key_19716
esco,key_20579,essential,key_20081
esco,key_20579,optional,key_19527
esco,key_20579,optional,key_19931
esco,key_20579,optional,key_20354
esco,key_20579,optional,key_20384
esco,key_20580,essential,key_19505
esco,key_20580,essential,key_19762
esco,key_20580,essential,key_19865
