"OCCUPATIONTYPE","OCCUPATIONID","RELATIONTYPE","SKILLID","SIGNALLINGVALUELABEL","SIGNALLINGVALUE"
"escooccupation","key_20476","essential","key_20341","",""
"escooccupation","key_20477","essential","key_19758","",""
"escooccupation","key_20477","essential","key_20386","",""
"escooccupation","key_20477","essential","key_20409","",""
"escooccupation","key_20477","optional","key_19741","",""
"escooccupation","key_20477","optional","key_19942","",""
"escooccupation","key_20477","optional","key_20271","",""
"escooccupation","key_20478","essential","key_19638","",""
"escooccupation","key_20478","essential","key_19832","",""
"escooccupation","key_20478","essential","key_20154","",""
"escooccupation","key_20478","essential","key_20217","",""
"escooccupation","key_20478","optional","key_20205","",""
"escooccupation","key_20479","essential","key_19590","",""
"escooccupation","key_20480","optional","key_19858","",""
"escooccupation","key_20481","essential","key_19624","",""
"escooccupation","key_20481","essential","key_19834","",""
"escooccupation","key_20481","optional","key_19907","",""
"escooccupation","key_20481","optional","key_19917","",""
"escooccupation","key_20482","essential","key_19815","",""
"escooccupation","key_20483","essential","key_19840","",""
"escooccupation","key_20484","essential","key_19716","",""
"escooccupation","key_20484","essential","key_19959","",""
"escooccupation","key_20484","optional","key_20364","",""
"escooccupation","key_20484","optional","key_20384","",""
"escooccupation","key_20484","optional","key_20159","",""
"escooccupation","key_20485","essential","key_19499","",""
"escooccupation","key_20485","optional","key_20331","",""
"escooccupation","key_20486","essential","key_19870","",""
"escooccupation","key_20486","optional","key_19526","",""
"escooccupation","key_20486","optional","key_20034","",""
"escooccupation","key_20488","optional","key_19600","",""
"escooccupation","key_20488","optional","key_19701","",""
"escooccupation","key_20488","optional","key_19435","",""
"escooccupation","key_20488","optional","key_19458","",""
"escooccupation","key_20488","optional","key_19516","",""
"escooccupation","key_20488","optional","key_19860","",""
"escooccupation","key_20488","optional","key_19985","",""
"escooccupation","key_20488","optional","key_20347","",""
"escooccupation","key_20489","essential","key_19516","",""
"escooccupation","key_20489","optional","key_20176","",""
"escooccupation","key_20489","optional","key_20217","",""
"escooccupation","key_20490","essential","key_20218","",""
"escooccupation","key_20490","optional","key_19429","",""
"escooccupation","key_20490","optional","key_19452","",""
"escooccupation","key_20490","optional","key_19571","",""
"escooccupation","key_20490","optional","key_19653","",""
"escooccupation","key_20490","optional","key_19973","",""
"escooccupation","key_20490","optional","key_20102","",""
"escooccupation","key_20490","optional","key_20106","",""
"escooccupation","key_20490","optional","key_20168","",""
"escooccupation","key_20490","optional","key_19654","",""
"escooccupation","key_20490","optional","key_19806","",""
"escooccupation","key_20491","essential","key_19833","",""
"escooccupation","key_20491","essential","key_19857","",""
"escooccupation","key_20491","optional","key_19644","",""
"escooccupation","key_20492","essential","key_19860","",""
"escooccupation","key_20492","optional","key_20016","",""
"escooccupation","key_20492","optional","key_20124","",""
"escooccupation","key_20493","optional","key_19830","",""
"escooccupation","key_20494","essential","key_20154","",""
"escooccupation","key_20494","optional","key_19590","",""
"escooccupation","key_20496","essential","key_20157","",""
"escooccupation","key_20496","essential","key_20386","",""
"escooccupation","key_20496","optional","key_19598","",""
"escooccupation","key_20497","optional","key_20049","",""
"escooccupation","key_20497","optional","key_20377","",""
"escooccupation","key_20497","optional","key_19536","",""
"escooccupation","key_20498","optional","key_19458","",""
"escooccupation","key_20498","optional","key_19516","",""
"escooccupation","key_20499","essential","key_19454","",""
"escooccupation","key_20499","essential","key_20261","",""
"escooccupation","key_20500","optional","key_19499","",""
"escooccupation","key_20501","essential","key_20331","",""
"escooccupation","key_20502","essential","key_19747","",""
"escooccupation","key_20502","essential","key_19815","",""
"escooccupation","key_20502","essential","key_20088","",""
"escooccupation","key_20502","essential","key_20148","",""
"escooccupation","key_20502","optional","key_20408","",""
"escooccupation","key_20503","essential","key_19599","",""
"escooccupation","key_20503","essential","key_19451","",""
"escooccupation","key_20503","essential","key_19865","",""
"escooccupation","key_20503","optional","key_20216","",""
"escooccupation","key_20504","essential","key_19546","",""
"escooccupation","key_20504","optional","key_20150","",""
"escooccupation","key_20504","optional","key_20319","",""
"escooccupation","key_20505","essential","key_20056","",""
"escooccupation","key_20505","essential","key_19458","",""
"escooccupation","key_20505","essential","key_19730","",""
"escooccupation","key_20505","essential","key_20091","",""
"escooccupation","key_20505","essential","key_20096","",""
"escooccupation","key_20506","essential","key_19860","",""
"escooccupation","key_20507","essential","key_20016","",""
"escooccupation","key_20507","essential","key_20124","",""
"escooccupation","key_20507","optional","key_20259","",""
"escooccupation","key_20507","optional","key_19499","",""
"escooccupation","key_20507","optional","key_19860","",""
"escooccupation","key_20509","essential","key_19713","",""
"escooccupation","key_20509","optional","key_19499","",""
"escooccupation","key_20510","essential","key_19920","",""
"escooccupation","key_20510","optional","key_19681","",""
"escooccupation","key_20511","essential","key_19583","",""
"escooccupation","key_20511","essential","key_19867","",""
"escooccupation","key_20511","essential","key_19460","",""
"escooccupation","key_20511","essential","key_19677","",""
"escooccupation","key_20511","essential","key_20006","",""
"escooccupation","key_20512","essential","key_19629","",""
"escooccupation","key_20512","optional","key_19575","",""
"escooccupation","key_20513","essential","key_19886","",""
"escooccupation","key_20514","essential","key_20049","",""
"escooccupation","key_20514","essential","key_19878","",""
"escooccupation","key_20514","optional","key_20224","",""
"escooccupation","key_20515","essential","key_19514","",""
"escooccupation","key_20515","essential","key_20150","",""
"escooccupation","key_20515","optional","key_19886","",""
"escooccupation","key_20515","optional","key_19546","",""
"escooccupation","key_20516","essential","key_19886","",""
"escooccupation","key_20516","essential","key_19849","",""
"escooccupation","key_20516","optional","key_19797","",""
"escooccupation","key_20516","optional","key_20107","",""
"escooccupation","key_20516","optional","key_20403","",""
"escooccupation","key_20518","essential","key_20115","",""
"escooccupation","key_20518","essential","key_20295","",""
"escooccupation","key_20518","essential","key_20372","",""
"escooccupation","key_20518","optional","key_19590","",""
"escooccupation","key_20518","optional","key_19710","",""
"escooccupation","key_20519","essential","key_19886","",""
"escooccupation","key_20519","optional","key_20101","",""
"escooccupation","key_20519","optional","key_20264","",""
"escooccupation","key_20519","optional","key_20361","",""
"escooccupation","key_20520","essential","key_19492","",""
"escooccupation","key_20520","essential","key_19690","",""
"escooccupation","key_20520","essential","key_19920","",""
"escooccupation","key_20521","essential","key_19590","",""
"escooccupation","key_20521","essential","key_20273","",""
"escooccupation","key_20522","essential","key_19449","",""
"escooccupation","key_20522","essential","key_20224","",""
"escooccupation","key_20522","essential","key_20293","",""
"escooccupation","key_20523","essential","key_20249","",""
"escooccupation","key_20523","optional","key_19968","",""
"escooccupation","key_20524","essential","key_20049","",""
"escooccupation","key_20525","essential","key_19886","",""
"escooccupation","key_20525","essential","key_19649","",""
