ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION
http://data.europa.eu/esco/isco/C122,key_26,"fb44aa49-42d2-467b-a2c7-92cda48d55de
740919e8-828a-41a8-b02e-d8c60a9726ec
402872e8-4bc2-4a64-8d31-c5bee0300ef2",122,"Directeurs et cadres de direction, ventes, commercialisation et développement",,
http://data.europa.eu/esco/isco/C1221,key_27,"accb6d05-f805-4766-8453-1c78ae875b62
8fffa333-fac6-431d-993e-c1a10bec2883
b6ac9a1b-7be7-4a0a-ae51-78bf25ffe5b5",1221,"Directeurs et cadres de direction, ventes et commercialisation",,
http://data.europa.eu/esco/isco/C1222,key_28,"645f9882-92b1-479f-bc52-35b5d5890f64
2d51a8fd-fcdc-458f-bb3e-43ce1205e2a1
49cfadf0-5e33-42ec-b4cd-ca964155760e",1222,"Directeurs et cadres de direction, publicité et relations publiques",,
http://data.europa.eu/esco/isco/C1223,key_29,"3e2dcdf3-441f-49cf-b80c-fd27bc90cada
ec7fd0a6-04bc-4eb8-9df3-2951c67ba1c2
a5a0b740-5d51-475c-b183-9dcdbaf69503",1223,"Directeurs et cadres de direction, recherche-développement",,
http://data.europa.eu/esco/isco/C13,key_30,"88eeefef-7991-48e5-b9e0-b68dad7baed3
906e2360-6c9f-4493-a63c-7f189fb55de3
8c150d60-83aa-44b6-9971-5a2925265839",13,"Directeurs et cadres de direction, production et services spécialisés",,
http://data.europa.eu/esco/isco/C131,key_31,"dca99d8f-d33a-4c63-8798-014b62265caf
eb02e268-3ad7-442f-882d-5e1d089f9dfc
8165b073-fe33-4b0a-9719-8f3f297840b5",131,"Directeurs et cadres de direction, agriculture, sylviculture et pêche",,
http://data.europa.eu/esco/isco/C1311,key_32,"a3d967d0-308e-445d-b135-9cbf2f4d20f7
9a3d2c1c-281e-4754-aa08-993caa64dc55
d714e343-327d-4eaa-9753-bf4416736db2",1311,"Directeurs et cadres de direction, agriculture et sylviculture",,
http://data.europa.eu/esco/isco/C1312,key_33,"dd1a675e-d963-49d2-be83-538e389e772c
f90beeb3-9fa8-4377-9cee-91b8bdaaaa02
8166b805-d1f6-4227-8c0f-d29574ded517",1312,"Directeurs et cadres de direction, aquaculture et pêche",,
http://data.europa.eu/esco/isco/C132,key_34,"9e39c1b2-cfde-46fa-8c6d-f5af1806e7f5
c405aea3-2054-4e54-8f97-007a7a26ca90
81bd40ba-a34f-4a91-a487-e24ab14cd90b",132,"Directeurs et cadres de direction, industries manufacturières, mines, bâtiment et distribution",,
http://data.europa.eu/esco/isco/C1321,key_35,"dc1d00fe-8d06-4760-9f22-0ebd29c5d759
f167984b-2ee2-4053-ae3b-9042e36c104e
22649288-8e51-44f9-8d77-2e2ef36163ff",1321,"Directeurs et cadres de direction, industrie manufacturière",,
http://data.europa.eu/esco/isco/C1322,key_36,"ef31c790-0cd5-4e8f-aad0-68fc6b85ed3e
06a5df2f-3dfd-43f9-b65d-2bb2d29869ac
f03ea4c8-ccc9-47a2-83fe-12b2e6c696aa",1322,"Directeurs et cadres de direction, mines",,
http://data.europa.eu/esco/isco/C1323,key_37,"27814bf5-2824-4d26-9aaf-16f5aad179e6
541db92a-6967-400d-90cb-37ff01ff0ab2
68d39596-2fb2-4be1-89b7-79fc3d486e12",1323,"Directeurs et cadres de direction, bâtiment",,
http://data.europa.eu/esco/isco/C1324,key_38,"cd6940e9-1eea-4121-97f2-711e4a796d85
233b0dbf-b11a-46ea-a083-f9685fef6fb8
c41d9a82-3129-4210-ad8b-d9bf9176f8b6",1324,"Directeurs et cadres de direction, approvisionnement, distribution et assimilés",,
http://data.europa.eu/esco/isco/C133,key_39,"1ceb2c1f-0abe-421c-85e2-e73be933b5fc
df4e2495-c6b4-4af4-b2b3-052e8e231048
edd1b1d9-1592-427f-9594-33500e3904ed",133,"Directeurs et cadres de direction, technologies de l’information et des communications",,
http://data.europa.eu/esco/isco/C1330,key_40,"91be35e5-ac10-43e9-9f79-3f4f110a9da1
6f8f8f36-cac5-4ad5-9ecc-0ef8a36111d3
fafc7e77-e5a0-4414-a749-48b2e4c88926",1330,"Directeurs et cadres de direction, technologies de l’information et des communications",,
http://data.europa.eu/esco/isco/C134,key_41,"9e365207-d943-4d7b-ad0a-98d46515dc66
c9f8e0e4-be0d-48a3-b5f8-651433d172f1
6e2ef455-136f-45e8-a989-3ac701a4c04b",134,"Cadres de direction, services spécialisés",,
http://data.europa.eu/esco/isco/C1341,key_42,"a7fa051d-ea2e-4d9f-a615-474fa925e662
8927c00f-e529-4416-ba16-b7b723b26db4
911563a6-a8ff-43d0-9f51-2034c9e81059",1341,"Cadres de direction, garde d’enfants",,
http://data.europa.eu/esco/isco/C1342,key_43,"288d4891-e2e3-47df-ba55-dbd884c008da
53112f7f-e829-4fce-9b7a-20827d47114d
899af30e-d3d4-4807-bab2-8cc9101d638a",1342,"Cadres de direction, services de santé",,
http://data.europa.eu/esco/isco/C1343,key_44,"693dce1e-bd3c-4f09-8799-9c335410a0bf
60b62f92-a3c3-45ec-8fb5-5ed4c6365f3d
be58c619-fed6-4201-ac4c-648666c35e22",1343,"Cadres de direction, services aux personnes âgées",,
http://data.europa.eu/esco/isco/C1344,key_45,"4f7022d1-5fb6-41cf-aef5-2dbc5f87fac4
22fa14f1-239b-442b-9a2f-f854d5634480
524f26aa-18e2-4980-b935-17c3cb29bdcf",1344,"Cadres de direction, services sociaux",,
http://data.europa.eu/esco/isco/C1345,key_46,"268612c5-5066-4903-bd87-c322ec9a94da
1b7a4bae-cb54-4b81-879e-00e178a5d9bd
632a05bd-39bf-449f-8aaf-abd26be18817",1345,"Cadres de direction, éducation",,
http://data.europa.eu/esco/isco/C1346,key_47,"440e3eee-199f-4fed-b676-70c9db5963e3
08bf25fa-f3b3-46ed-8d59-aebf41d1ed45
48873c54-ee78-462c-81ba-d4315a347e72",1346,"Directeurs et cadres de direction, succursales de banque, services financiers et assurances",,
http://data.europa.eu/esco/isco/C1349,key_48,"c23648e6-e18c-4e9c-b212-0de00ec702f9
6182829d-27f0-4831-8874-3934e65690a2
160bb364-f45d-4ab3-84e5-8a3836eb0549",1349,"Autres cadres de direction, services spécialisés non classés ailleurs",,
http://data.europa.eu/esco/isco/C14,key_49,"74077112-cc1c-43ca-a710-025d1c8501c3
5b153e43-7949-4333-8dcc-8b95adfb7547
3adf7f3f-ea12-40a6-bb4c-0b3315c5b359",14,"Directeurs et gérants de l’hôtellerie, la restauration, le commerce et autres services",,
http://data.europa.eu/esco/isco/C141,key_50,"a218fa97-bbca-4aaa-a1b7-9ccdffff6b26
23281f87-0a06-471d-b28c-c4aff372ada6
b2c5460b-cff3-42d7-a1f9-fc692feb8801",141,"Directeurs et gérants, hôtellerie et restauration",,
http://data.europa.eu/esco/isco/C1411,key_51,"08396acf-3f3b-4cad-bea0-73f709f7d73c
863707fe-66cf-47fc-9860-885ada4605e4
b51410bc-4b09-41f4-91de-acbdbe48f1e2",1411,"Directeurs et gérants, hôtellerie",,
http://data.europa.eu/esco/isco/C1412,key_52,"a58c483f-c6bc-4379-9fd6-482e6c59801b
07fa5416-9748-4e2e-9b4c-ddcf1bb90a99
4b012f55-8ecd-45b6-b02e-2c2e5890fee7",1412,"Directeurs et gérants, restauration",,
http://data.europa.eu/esco/isco/C142,key_53,"d7bae101-52ab-4e76-8ac4-29c4b30284b6
4643e130-2e7c-4b7e-8463-e0df96228290
81194b3a-d312-49ef-8a8e-066a7cc9c84b",142,"Directeurs et gérants, commerce de détail et de gros",,
http://data.europa.eu/esco/isco/C1420,key_54,"47a0ccbc-f9ba-4411-9301-6a8b13871634
e1e4c872-9afe-470b-bf7e-500dc8d71eea
9979e11c-9e16-4fb0-ae70-639ce11a2466",1420,"Directeurs et gérants, commerce de détail et de gros",,
http://data.europa.eu/esco/isco/C143,key_55,"4847c28e-8162-4c24-93e6-acf2c6e0d94b
9fdd6119-3b17-4225-9252-cb1f653d8dfe
9b4b5319-b8e6-4c2f-8c80-f082d66adc6d",143,Autres directeurs et gérants,,
http://data.europa.eu/esco/isco/C1431,key_56,"5d45c4b4-ab11-4353-9e86-8f8724e0d8d4
8c5231df-26df-46b4-91bb-544902beae9b
af4d31be-6415-44ad-8054-05a3b4d01fde",1431,"Directeurs et gérants, centres sportifs, centres de loisirs et centres culturels",,
http://data.europa.eu/esco/isco/C1439,key_57,"fb988b4e-420d-42ca-80a6-400fb7a2baed
0e4f19d9-8110-402c-89fd-eeec40605371
a58403c6-719f-48a0-8715-af245d3abaa9",1439,"Directeurs et gérants, services non classés ailleurs",,
http://data.europa.eu/esco/isco/C2,key_58,"71ad16dc-b86c-4a7c-b65e-e092e63d3090
b4c3442d-cd98-4aec-9942-cc633004f15d
a03378c1-fa5e-482a-b128-7f9f3d52c3b0",2,Professions intellectuelles et scientifiques,,
http://data.europa.eu/esco/isco/C21,key_59,"31df4951-672b-482c-899d-b0772873dda6
b9d16657-3c40-4be9-8a79-693db7db07fe
e7ec143d-0943-4b71-93a4-846c96fdcaa2",21,Spécialistes des sciences techniques,,
http://data.europa.eu/esco/isco/C211,key_60,"cac4fb1a-d7fc-4466-aed3-37957ac2bf0b
c0b9d0c2-a644-46b8-8d3b-675c9e455b5c
6c195188-3cd6-45d9-92eb-7f6ea458c6c5",211,"Physiciens, chimistes et assimilés",,
http://data.europa.eu/esco/isco/C2111,key_61,"6633e3e5-e404-4d68-8876-2127210cd0c1
c1b6f67e-0353-4cd5-9ec3-69e67c1d059c
93ef16f0-ee0d-46e2-b12e-a13fe541167a",2111,Physiciens et astronomes,,
http://data.europa.eu/esco/isco/C2112,key_62,"8a55f9b8-31fa-4a49-845f-7cb0ea31d92d
c03a2b30-e597-4be2-98ed-838763041bbd
08c1fcdc-8d28-4a4b-b304-ecb76f19c32e",2112,Météorologues,,
http://data.europa.eu/esco/isco/C2113,key_63,"65b2fb29-32f4-44fb-9947-7059a1cd6118
c080d726-fe11-4927-b55f-30cad98a429e
3f8e3dc1-9a9c-4810-ab7d-8192b904a32d",2113,Chimistes,,
http://data.europa.eu/esco/isco/C2114,key_64,"f120c1c2-428e-4d9f-b4d4-eed8b7b70f60
78116f52-62d0-4302-bec8-2fef029cb74a
fb2c94ee-37c5-48ee-89a4-95084dd723c8",2114,Géologues et géophysiciens,,
http://data.europa.eu/esco/isco/C212,key_65,"1747d1dd-1e81-461f-bcf3-4ec91042bb49
09a8b0e4-aa0a-4f48-84cd-b37308debbc9
4b0f5eb2-9f0d-45cd-91a3-4d1ee919c295",212,"Mathématiciens, actuaires et statisticiens",,
http://data.europa.eu/esco/isco/C2120,key_66,"4902e9f8-d904-4dce-9eb8-ec3c29980632
721a2ef5-9c3d-460a-a7ec-782b7d3332cb
fff6dee6-32c3-4798-bc8c-033e549aa9fa",2120,"Mathématiciens, actuaires et statisticiens",,
http://data.europa.eu/esco/isco/C213,key_67,"3d4c6b7b-5f34-4eea-b95e-dc6eb2afaf7a
a9745983-5a6e-48e5-a579-da6ec6e898a9
1ab60ef4-157c-46bf-bd16-c126f105598b",213,Spécialistes des sciences de la vie,,
http://data.europa.eu/esco/isco/C2131,key_68,"62119c04-b773-43de-bf35-90e013cf7f12
64f09fc9-695b-4531-9dc1-f1b40a3a4244
414cf08d-43c5-41fa-97b1-b51bb652cd5c",2131,"Biologistes, botanistes, zoologistes et assimilés",,
http://data.europa.eu/esco/isco/C2132,key_69,"dc37d818-6453-423a-a889-7ad64ebf5a47
6184eb1d-6ca2-4fd0-aa20-7eee5e2b14c2
6d1b1fb4-9553-46e4-9568-a95e5b53bd48",2132,Agronomes et assimilés,,
http://data.europa.eu/esco/isco/C2133,key_70,"584ecfa7-f693-4308-8c4b-a93f0d6adbe3
bbeaac52-efe9-4648-965a-0d1b32dc5d1b
11c8e041-554f-4d80-9114-a5bb1088a2c7",2133,Spécialistes de la protection de l’environnement,,
http://data.europa.eu/esco/isco/C214,key_71,"b7d0920c-3099-4e30-a337-cf9f819938a9
9675620c-c6a9-4ab9-80cc-fd51cfae087a
fe6e6276-b7ea-4d79-913b-2787e0839a4c",214,"Spécialistes, sciences techniques (sauf électrotechniques)",,
http://data.europa.eu/esco/isco/C2141,key_72,"77202fcf-21f4-4747-9054-473fdae16d3d
76088d8c-1fea-4272-aaa1-e1f8cc47d7f8
cf23bbae-25d7-445e-abe6-acef3f2256c9",2141,"Spécialistes, sciences techniques de la production et de l’industrie",,
http://data.europa.eu/esco/isco/C2142,key_73,"b12695a5-163a-46eb-9fbd-e319f456f560
b0d4a5cd-fb5c-4b88-9847-16059579fe7e
5584308e-b0cd-49a6-bffa-e8be781fa647",2142,Ingénieurs civils,,
http://data.europa.eu/esco/isco/C2143,key_74,"9cd798bb-55c4-4cfc-bca6-f194a76ff2e1
c448a1e9-ab3a-4cef-8b74-2c63516340b3
812444d6-f043-464d-8150-a7071944f7e5",2143,Ingénieurs écologistes,,
http://data.europa.eu/esco/isco/C2144,key_75,"6f6d7b8b-8a9b-4402-beaa-55ebe8ac3eec
3634e116-8d44-4771-9df6-79ae9fccd0ad
af609a36-8ab2-4bd5-a029-5d2508cdc3ca",2144,Ingénieurs mécaniciens,,
http://data.europa.eu/esco/isco/C2145,key_76,"16cf624c-0bf3-41c3-ab72-9bb677a1893b
b0271cec-d452-484e-936d-e12397976060
5a5fcc00-3376-48d1-8626-488b906c83b2",2145,Ingénieurs chimistes,,
http://data.europa.eu/esco/isco/C2146,key_77,"015a998a-ba3f-4740-9552-fb144c6d953c
e954034b-0398-4bda-8e08-7144a6b8d41f
ce9fb54d-5d2c-4ecd-9131-9f27f7d174ec",2146,"Ingénieurs des mines, ingénieurs métallurgistes et assimilés",,
http://data.europa.eu/esco/isco/C2149,key_78,"b55a2f70-6392-4420-bc56-4f7a5357f6db
dfd03dfc-e81f-45fb-a42c-cbbdc99a04df
a8587ea7-1f8d-4cac-ace6-a40ef6d58264",2149,"Spécialistes, sciences techniques non classés ailleurs",,
http://data.europa.eu/esco/isco/C215,key_79,"1a69bd70-0bc2-4f40-98e0-ac7576d35127
4502dfbc-5292-45ed-94c8-8f7c9e71909c
d9b32639-8cc2-40df-b0db-80e8255d290e",215,Ingénieurs de l’électrotechnique,,
http://data.europa.eu/esco/isco/C2151,key_80,"60394c91-abce-4a50-b724-a7ca0ce4be8c
e70266ce-7e45-44b7-a17a-b39d1d718da6
efbfcd68-4d3b-4e73-9a76-9e5221c0428c",2151,Ingénieurs électriciens,,
http://data.europa.eu/esco/isco/C2152,key_81,"a1106596-728c-4a6a-a8de-367c15a13b60
2e993ce9-4a52-4a98-8107-1cd04fdd221f
cca9b457-2741-4bc7-9200-1955eaf97f68",2152,Ingénieurs électroniciens,,
http://data.europa.eu/esco/isco/C2153,key_82,"dfb2b8f6-ab04-47d5-a93f-47504d3b9eec
e3e04631-b765-4abf-9e31-02a6006d6c5b
3093d81d-89b2-4588-aa34-938bd099e61b",2153,Spécialistes des télécommunications,,
http://data.europa.eu/esco/isco/C216,key_83,"82d7daf7-adc3-47c3-b326-22a127997710
fc947574-64ef-4b21-9c2d-cce3d5c30f74
accc190d-0567-42f2-99fb-cfd5823fb150",216,"Architectes, urbanistes, géomètres et concepteurs",,
http://data.europa.eu/esco/isco/C2161,key_84,"4d0559bc-5bfe-46f1-aba7-297490c06177
abe7c8c4-2b5c-4e0d-bbbe-351ee3c4f1ea
ba2c0e3b-a53c-4f45-8690-301aabaf7e2c",2161,"Architectes, bâtiment",,
