ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0210,key_645,"15b17ae3-489c-4e7c-aa46-a212c28c35bf
e4db7332-bbc1-4748-b766-8deffe7f8711
ce8e393b-d0f5-4f83-9d1d-9b46d522e952",,arts non définis,,,
http://data.europa.eu/esco/isced-f/0211,key_646,"c67de9ec-0e3f-41c4-902b-4a9380e28d35
2d6b504f-dc5f-4b51-9e34-e5a11ec9080e
69552437-2356-4fd8-bda0-3897961493a3",,techniques audiovisuelles et production multimédia,,,
http://data.europa.eu/esco/isced-f/0212,key_647,"4e2cd6db-0864-4d67-b63d-d24b2670fe42
f52293ac-0cbf-4320-98d9-648c92fa2cf2
0bb7fb7f-2d37-440f-a0ea-e1ac88e0c356",,"stylisme, décoration et design industriel",,,
http://data.europa.eu/esco/isced-f/0213,key_648,"93925b9e-ec2d-4635-ab5e-8906f7c832f4
b98b424e-1b9a-4173-beee-b510e0ffa0d9
dcbc52f8-c7fd-4838-9d51-894175f3c18e",,beaux-arts,,,
http://data.europa.eu/esco/isced-f/0214,key_649,"a7de46e1-aaa6-4bea-b90c-1fe73dc6ace9
5279c41e-12e9-4377-9d37-7a6540c72c50
9ba01d3b-55da-4221-a457-70e88f4074cc",,artisanat,,,
http://data.europa.eu/esco/isced-f/0215,key_650,"b4d351e4-89d9-461a-bc0e-79c0305f0231
bf8ffa54-d18a-4266-9ee9-a92cfaf02f0b
02de8bef-52d3-4184-878c-84846273e6f1",,"musique, théâtre, danse, cirque",,,
http://data.europa.eu/esco/isced-f/0219,key_651,"f6f21a07-6523-413d-a260-8168993657f8
bc04d1fe-c9c9-4c16-8480-fb54354ea2de
f528f6e6-a500-4e5d-a701-0d64fd157e04",,arts non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/022,key_652,"f478790b-a69c-410c-8bbc-22eeb157d70f
3d2b9910-5d5a-4fe6-bd86-ac4e839c1dfb
69cad414-b2fe-40d5-a94b-059f973ef658",,lettres (à l’exception des langues),,,
http://data.europa.eu/esco/isced-f/0220,key_653,"77b16172-be00-4be2-b21a-265103257f0d
ada84f78-e0e4-4ea4-b8f3-47390b20a881
cfe8577d-89df-4897-b47d-0f32de638aea",,lettres (à l’exception des langues) non définis,,,
http://data.europa.eu/esco/isced-f/0221,key_654,"d69cd7f2-2e88-4568-bb22-dcacec376cd2
bdab0866-626d-416c-85f9-14384f0704ac
e8a01f5a-923a-4d7e-ba6e-c66a7d90a16f",,religion et théologie,,,
