PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
SkillGroup,key_761,key_763,SkillGroup
SkillGroup,key_761,key_764,SkillGroup
SkillGroup,key_742,key_765,SkillGroup
SkillGroup,key_765,key_766,SkillGroup
SkillGroup,key_742,key_767,SkillGroup
SkillGroup,key_767,key_768,SkillGroup
SkillGroup,key_1157,key_769,SkillGroup
SkillGroup,key_769,key_770,SkillGroup
SkillGroup,key_770,key_771,SkillGroup
SkillGroup,key_769,key_772,SkillGroup
SkillGroup,key_772,key_773,SkillGroup
SkillGroup,key_772,key_774,SkillGroup
SkillGroup,key_772,key_775,SkillGroup
SkillGroup,key_772,key_776,SkillGroup
SkillGroup,key_769,key_777,SkillGroup
SkillGroup,key_777,key_778,SkillGroup
SkillGroup,key_769,key_779,SkillGroup
SkillGroup,key_779,key_780,SkillGroup
SkillGroup,key_769,key_781,SkillGroup
SkillGroup,key_781,key_782,SkillGroup
SkillGroup,key_769,key_783,SkillGroup
SkillGroup,key_783,key_784,SkillGroup
SkillGroup,key_769,key_785,SkillGroup
SkillGroup,key_785,key_786,SkillGroup
SkillGroup,key_1157,key_787,SkillGroup
SkillGroup,key_787,key_788,SkillGroup
SkillGroup,key_788,key_789,SkillGroup
SkillGroup,key_787,key_790,SkillGroup
SkillGroup,key_790,key_791,SkillGroup
SkillGroup,key_790,key_792,SkillGroup
SkillGroup,key_790,key_793,SkillGroup
SkillGroup,key_790,key_794,SkillGroup
SkillGroup,key_790,key_795,SkillGroup
SkillGroup,key_790,key_796,SkillGroup
SkillGroup,key_790,key_797,SkillGroup
SkillGroup,key_790,key_798,SkillGroup
SkillGroup,key_790,key_799,SkillGroup
SkillGroup,key_787,key_800,SkillGroup
SkillGroup,key_800,key_801,SkillGroup
SkillGroup,key_800,key_802,SkillGroup
SkillGroup,key_800,key_803,SkillGroup
SkillGroup,key_800,key_804,SkillGroup
SkillGroup,key_800,key_805,SkillGroup
SkillGroup,key_787,key_806,SkillGroup
SkillGroup,key_806,key_807,SkillGroup
SkillGroup,key_787,key_808,SkillGroup
SkillGroup,key_808,key_809,SkillGroup
SkillGroup,key_1157,key_810,SkillGroup
SkillGroup,key_810,key_811,SkillGroup
SkillGroup,key_811,key_812,SkillGroup
SkillGroup,key_810,key_813,SkillGroup
SkillGroup,key_813,key_814,SkillGroup
SkillGroup,key_813,key_815,SkillGroup
SkillGroup,key_813,key_816,SkillGroup
SkillGroup,key_813,key_817,SkillGroup
SkillGroup,key_813,key_818,SkillGroup
SkillGroup,key_813,key_819,SkillGroup
SkillGroup,key_813,key_820,SkillGroup
SkillGroup,key_810,key_821,SkillGroup
SkillGroup,key_821,key_822,SkillGroup
SkillGroup,key_821,key_823,SkillGroup
SkillGroup,key_821,key_824,SkillGroup
SkillGroup,key_821,key_825,SkillGroup
SkillGroup,key_810,key_826,SkillGroup
SkillGroup,key_826,key_827,SkillGroup
SkillGroup,key_826,key_828,SkillGroup
SkillGroup,key_826,key_829,SkillGroup
SkillGroup,key_826,key_830,SkillGroup
SkillGroup,key_810,key_831,SkillGroup
SkillGroup,key_831,key_832,SkillGroup
SkillGroup,key_810,key_833,SkillGroup
SkillGroup,key_833,key_834,SkillGroup
SkillGroup,key_810,key_835,SkillGroup
SkillGroup,key_835,key_836,SkillGroup
SkillGroup,key_1157,key_837,SkillGroup
SkillGroup,key_837,key_838,SkillGroup
SkillGroup,key_838,key_839,SkillGroup
SkillGroup,key_1210,key_840,SkillGroup
SkillGroup,key_857,key_841,SkillGroup
SkillGroup,key_849,key_842,SkillGroup
SkillGroup,key_1095,key_843,SkillGroup
SkillGroup,key_979,key_844,SkillGroup
SkillGroup,key_1071,key_845,SkillGroup
