ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION
http://data.europa.eu/esco/isco/C0,key_1,"dcc276fa-bf29-4543-86b5-7a2335332d87
375ad4ae-0113-4d76-b42a-e7b9ad8178bd",0,Professions militaires,,
http://data.europa.eu/esco/isco/C01,key_2,"66cb7d82-db70-4a1c-9e3a-7819c8afdbc7
cf84519f-ff3c-459c-b5f7-7221c4261e00",01,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C011,key_3,"deffb3a4-63e8-4ccf-80e1-cb867f3007f9
4cbf6d83-8d95-484b-80c5-fc2b3ea556f5",011,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C0110,key_4,"e12c32e6-919b-4f06-a26f-3277e4e84704
3f6ce529-1673-4957-a404-6da3ea6d68a5",0110,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C02,key_5,"1d3100e2-dcc4-421b-835d-708c5959287c
92d2f425-b38f-422b-ac9e-37bf20328fb3",02,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C021,key_6,"292748f3-8a62-4fbe-9229-372795f9381a
b0973fd1-8fac-48bd-857e-8466a3ec061b",021,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C0210,key_7,"944db535-65f4-42f5-bd3c-081df360b4a3
e17d3987-937c-42f0-b719-a0d5d54a4e99",0210,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C03,key_8,"c7d83f30-4856-430b-a13c-9c2e39833495
2d9a7de0-6e72-4589-8c65-8d478997e5d6",03,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C031,key_9,"14e4bb0d-a522-40ed-8852-5538c831579a
4f080845-add6-47b8-839b-99d63d7cec1f",031,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C0310,key_10,"2ad9b311-5fef-4c26-8965-d70cfe224561
1e9aac0a-8d42-43e3-823e-593202c379d3",0310,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C1,key_11,"044a22d2-6ccd-47a5-bebd-746328fbc3bb
71729375-90c7-402d-bb61-e9510949a732",1,"Directeurs, cadres de direction et gérants",,
http://data.europa.eu/esco/isco/C11,key_12,"198e00c9-a069-4187-83c6-ce53c372ae0f
f7264695-922e-4dc9-afda-e7c5dfe4cfd0",11,"Directeurs généraux, cadres supérieurs et membres de l’exécutif et des corps législatifs",,
http://data.europa.eu/esco/isco/C111,key_13,"950d6a2f-cf5b-42eb-b03b-5ff7e02d3137
eacda59a-2bfa-49ab-9c24-2d14124ac64a",111,Membres des corps législatifs et cadres supérieurs de l’administration publique,,
http://data.europa.eu/esco/isco/C1111,key_14,"280fc1ef-5fa2-4e49-91ab-e42395badb47
425b9807-d217-4b9a-b594-96f9311faf7f",1111,Membres des corps législatifs,,
http://data.europa.eu/esco/isco/C1112,key_15,"c48ed656-4280-4db7-924e-c747a5b81812
1d0abf11-e72c-4849-9466-da9516f4a21e",1112,Cadres supérieurs de l’administration publique,,
http://data.europa.eu/esco/isco/C1113,key_16,"b11c70b7-7fe8-4d8a-85a5-1facb0ee08ea
3debddc7-0373-4ba5-95ab-2fbe088694ad",1113,Chefs traditionnels et chefs de village,,
http://data.europa.eu/esco/isco/C1114,key_17,"53619abb-757b-4121-a77e-cdf5ee174a00
bd32ecae-c275-43e3-895a-7e461a4227a4",1114,Dirigeants et cadres supérieurs d’organisations spécialisées,,
http://data.europa.eu/esco/isco/C112,key_18,"f52aef09-b6e1-493c-8729-824a6476103b
7e44c388-d502-45cd-baba-330a2b7d1dda",112,Directeurs généraux d’entreprise,,
http://data.europa.eu/esco/isco/C1120,key_19,"7b61a4c8-2a4a-4352-b1b0-4dae1661e637
be452dda-2701-497a-8c81-9f904a291c41",1120,Directeurs généraux d’entreprise,,
http://data.europa.eu/esco/isco/C12,key_20,"185d5d2c-df5f-49aa-8870-224e9a04fdfc
906cef2a-95d6-4007-890a-f417629c35c4",12,Directeurs de services administratifs et commerciaux,,
http://data.europa.eu/esco/isco/C121,key_21,"a47cfa47-8acd-4bed-8edf-6f2f8632cb16
121a4a7c-420a-43a9-9b63-8dbbb229041c",121,Directeurs de services administratifs,,
http://data.europa.eu/esco/isco/C1211,key_22,"125b3900-c230-444c-8eff-a707a21e4767
360784a5-4d1f-489d-8aec-e4e56ccee633",1211,"Directeurs et cadres de direction, services financiers",,
http://data.europa.eu/esco/isco/C1212,key_23,"84a0509b-84dd-4c59-8051-2959db183ac2
825e1872-ee4f-428f-a1cb-5b8b141c2243",1212,"Directeurs et cadres de direction, ressources humaines",,
