UUID,OriginUUID,TabiyaURI,ESCO_UUID,altLabels
,,,,"container equipment assembly supervisor
container equipment sub assembler supervisor
container equipment assembly line senior operative
container equipment assembly line supervisor
container equipment assembly line machine supervisor
container equipment machine assembler supervisor
container equipment machine assembly supervisor
container equipment bench precision supervisor
container equipment electronic supervisor
container equipment assembly line senior operator
container equipment supervisor worker
container equipment production line supervisor
container equipment mechanical assembler supervisor
container equipment final supervisor
container equipment manufacturing assembler supervisor"
,,,,"clothing warehouse representatives
warehouse person for clothing
clothing warehouse workers
clothing warehouse operators
warehouse operators for clothing
clothing warehouse operatives
fashion warehouse operative"
,,,,"communications assistant
administrative office assistant
administrative office worker
clerical assistant
office clerk
office administrator
executive administrative assistant
general office clerk
administrative assistant"
,,,,"grinding machine attendant
coffee grinder
grinder operator"
,,,,"medical administrative assistant
health services administrative assistant
medical institution administrative assistant
PA
medical institution personal assistant
secretary in medical institution
healthcare assistant
medical assistant
healthcare secretary
personal assistant
medical PA
medical receptionist
administrative assistant in medical institution"
,,,,"system security administrator
information security administrator
network security administrator
ICT security administrator
ICT security administrators
IT security administrator
CISO"
,,,,"bricklayer supervisor
bricksetter supervisor
brickwork supervisor
brick laying supervisor
bricklaying supervisor
brickmason supervisor
foreman bricklayer
bricklayer foreman
brickwork foreman
bricklaying foreman"
,,,,MPE
,,,,"slate mixing machine operator
slate mixing machine operative
slate granule mixer worker
slate granule mixer
slate product production operative
slate granule mixer operator
slate-mixer worker
slate granule mixer operative
slate granule mixer tender
slate mixing machine setter
slate mixing machine tender
slate mixer
slate-mixer tender
slate product production worker
slate product production operator
granule mixer
slate-mixer operative
slate granule mixer setter
slate-mixer setter
slate-mixer operator
slate mixing machine worker"
,,,,"yacht  engineering technician
marine technologist
vessel engineering technologist
marine engineering technician
marine engineering technologist
submarine engineering technician
vessel engineering technician
vessel technologist
boat engineering technician
marine vessel engineering technician
cargo vessel engineering technician
ship engineering technician
submarine engineering technologist
submarine technologist
pleasure craft  engineering technician"
,,,,"auctioneer
auction house manager
valuer
auction house director
auction house administrator"
,,,,"programming analyst
software requirement analyst
software analysts
software requirements analyst
analyst of software
software analyst
application analyst
programmer analyst"
,,,,"financial director
cost accounting manager
accounting department manager
group accounting manager
accounting manager
financial accounts supervisor
accounting director
financial accounting manager
accounts payable manager
head of accounts
accounting office manager"
,,,,"process manager
foundry production manager
engineering manager
production controller
foundry manager
foundry plant manager
foundry operations manager"
,,,,"supply specialist
market specialist
category specialist"
,,,,"telecommunications systems technician
telecoms technician
communication line technicians
telecommunications installer
technician in telecommunication systems
phone systems technician
telecommunications systems installer
telecommunications line maintainer
telecom technician
telecommunications equipment technician
telecommunications technician
technician in telecommunications
telecommunications installation technician
telecommunications equipment installer
technician in satellite telecommunications
telecommunications technicians
field-based telecommunications technician
telecoms systems technician
communication technician
telecommunications service technician
telecommunications hardware professional
communication line technician
telecommunications installer and repairer
satellite dish installer
cable and fibre network technician"
,,,,"filling station sales demonstrator
senior sales demonstrator
supermarket promotions demonstrator
hypermarket sales demonstrator
department store sales demonstrator
outlet centre sales demonstrator
department store promotions demonstrator
garden centre sales demonstrator
hypermarket promotions demonstrator
garden centre promotions demonstrator
trainee promotions demonstrator
outlet centre promotions demonstrator
trainee sales demonstrator
filling station promotions demonstrator
senior promotions demonstrator
promotions demonstrator
supermarket sales demonstrator"
,,,,"boating instructor
ship pilot trainer
specialist maritime training instructor
maritime trainer
maritime training instructor
occupational boating instructor
instructor in maritime training
ship pilot instructor
maritime instructor"
,,,,"foreign exchange trader
foreign exchange handler
forex dealer
forex handler
foreign exchange dealer"
,,,,"aeronautics engineering technician
aero spatial technologist
aeroplane engineering technician
spaceship engineering technician
aeroplane technologist
aeronautical technologist
aircraft engineering technician
aircraft technologist
spaceship technologist
spacecraft engineering technician
aerospace engineering technician
spacecraft technologist"
,,,,"table saw machine operator
cut-off saw operator
mitre saw operator
cut-off saw technician
sawyer
board saw specialist
beam saw technician
table saw operative
timber machine operator
beam saw operator
cut-off saw specialist
table saw specialist
circle saw operator
circle saw technician
mitre saw specialist
panel saw technician
mitre saw technician
circular saw technician
circular saw specialist
table saw tender
table saw worker
table sawyer
table saw machine operative
beam saw specialist
panel saw specialist
table saw setter
sawbench operator
table saw technician
board saw technician
circle saw specialist
panel saw operator
table saw operator
circular saw operator
board saw operator"
,,,,"bridge construction site supervisor
bridgebuilding supervisor
bridge construction project supervisor
bridge building supervisor
bridge construction supervisor"
,,,,"specialist brick layer
brick laying labourer
trowel occupation worker
brick laying worker
industrial oven brickmason
bricklayer
brick layer"
,,,,"meat cutter
trimmer
meatcutter
deboner
meat boner"
,,,,"criminology science researcher
criminology studies scholar
criminology studies scientist
criminologist
criminology research scientist
criminology scientist
criminology researcher
criminology scholar
criminology studies researcher
criminologists
criminology studies research scientist"
,,,,"visual and graphic operator
projection operator
video operator
video projection operator
visuals operator
video and graphics technician
video and graphics operator
video projection technician
visual projection operator
live video operator"
,,,,"fresh fish salesperson
fish market salesperson
fish and seafood specialized seller
fresh seafood specialised seller
fresh fish counter specialised seller
fish stall specialised seller
fish salesperson
fresh fish specialised seller
fresh seafood salesperson
fish market specialised seller
seafood specialised seller
fisheries shop salesperson
fresh fish shop salesperson
seafood salesperson
fish specialised seller
fisheries salesperson
fisheries shop specialised seller
fisheries specialised seller
fish stall salesperson
fishmongers shop specialised seller"
,,,,"gas field production manager
oil and gas production scheduler
oil operations manager
oil and gas production project manager
gas production scheduler
gas operations manager
oilfield production manager
oil and gas production manager
oil field production manager
oil production project manager
oil production scheduler
gas production manager
gasfield production manager
oil production manager
oil and gas operations manager
gas production project manager"
,,,,"metallurgy test technician
mining technician
minerals technician
quality technician, metals
metallurgy technician
metallurgical technician
development metallurgist
metallurgical research technician
metallurgist
metallurgy research technician
metallurgical test technician
extraction technician
laboratory metallurgist
metallurgy quality technician
metallurgical quality technician"
,,,,"spinning and winding supervisor
textile technician for spinning
spinning textile technician
spinning mill  manager
textile spinning technician
textile spinner
spinning textile operator
spinning supervisor
spinner technician
spinning process operator"
,,,,"vinyl floor installer
resilient floor layer
layer of resilient floor
linoleum installer
floor layer (resilient)
resilient floor installer
linoleum layer
vinyl tile installer
laminate floor installer
resilient flooring installer"
,,,,"textile texting technician
textile quality technician
textile quality laboratory analyst
textile laboratory technician
physical testing laboratory technician"
,,,,"tobacco drying machine operator
curing room operative
tobacco curing room worker
curing room assistant
tobacco drier
tobacco roaster
tobacco curer
tobacco dryer
tobacco drier operator
tobacco drying worker
tobacco drying machine tender
curing room attendant
curing room worker"
,,,,"metal enameller
platinum enameller
enamel machine operator
cast metal enameller
enamel dipper
dipping machine technician
gold enameller
enamel dipper operator
coating and dipping operator
enameler
enamel dipping machine operator
dipping machine apprentice
engineering dipper
silver enameller
enamel machine technician
copper enameller
jewelery artist
dipper
coating and enamelling operator
enamel machine apprentice"
