UUID,OriginUUID,TabiyaURI,ESCO_UUID,altLabels
,,,,"nitro-separator operator
nitroglycerin separator tender
nitroglycerin separator operative
gravity separator operator
nitroglycerin-separator tender
chemical equipment operative
nitroglycerin- separator operative
nitroglycerin-separator worker
nitro-separator operative
nitroglycerin separator operator
nitroglycerin gravity separator
chemical equipment worker
nitroglycerin-separator operator
nitroglycerin separator worker
chemical equipment operator"
,,,,"biomedical engineer
BME consultant
bio-medical engineer
biomedical engineering adviser
biomedical technology engineering expert
BME adviser
biomedical engineering expert
BME expert
biomedical engineering consultant
biomedical technology engineering specialist
biomedical technology engineer
biomedical engineering specialist
biomedical technology engineering adviser
BME specialist
biomedical technology engineering consultant"
,,,,"court-appointed guardian
legal guardian
welfare guardian
youth legal guardian
conservator
intervenor
foster parent
department of work and pensions appointee
financial guardian
legal parent"
,,,,"needle loom operator
weaving forewoman
fabric weaver
manufacturing weaver
textile weaver
weaving machine operator
cloth weaver
weaver
loom operator
weaving foreman
weaving machinist
weaving inspector
needle loom weaver"
,,,,"wall tiler
floor tiler
surface tiler
tile setter
tilefitter
tile installer
tiling worker
marble setter
tiler
mosaic tiler
tilesetter"
,,,,"footwear store manager
cobblers store manager
shop manager (footwear and leather goods retail store)
leather accessories shop manager
shoe shop manager
shoe and leather accessories store manager
shoe store manager
shoe and leather accessories shop manager
leather accessories store manager
cobblers shop manager"
,,,,"package tour manager
package tour services manager
tour operators manager
package tour operator manager"
,,,,"bees breeder
bee rearer
bee specialist
beekeeper"
,,,,"paralegal assistant
certified legal assistant
litigation secretary
litigation legal assistant
legal executive secretary
certified legal secretary specialist
legal secretary
certified legal secretary
collection legal assistant
legal administrative assistant
legal administrative secretary"
,,,,petroleum pump system operator
,,,,"protective gear manufacturer
manufacturer of protective equipment
manufacturer of safety clothing
protective clothes manufacturer
manufacturer of protective clothing
protective clothing apparel manufacturer"
,,,,"coater operator
coater technician
coater
coating and embossing operator
coating machine operative
coater adjuster
coating machine technician
coating and baking operator
coating machine operator
coating and embossing unit operator
coater associate"
,,,,"manager of aquaculture hatchery
aquaculture hatchery supervisor
aquaculture hatchery manager
fish farm hatchery supervisor"
,,,,"mechanical gearing  machinist
mechatronic gear machinist
automotive gear machinist
electrical gearing machinist
auto machinist
mechatronic gearing machinist
automotive gearing machinist
gear change machinist
gear machinist
electrical gear machinist
mechanical gear machinist
auto change machinist
precision gear machinist
precision gearing machinist"
,,,,"director of rooms
front desk manager
rooms and reservations manager
reservations manager
reception manager
front office manager
rooms division manager
rooms manager
head receptionist"
,,,,"painter of ceramic articles
ceramic designer & painter
decorator of ceramics
ceramic painter & decorator
ceramic designer and painter
ceramic artist
ceramics painter
ceramic painter and decorator
ceramic painter
ceramic decorator"
,,,,"broadcast engineer
telecommunications designer
telecommunications technologist
communications designer
telecommunications engineers
communications engineer
transmission engineer
telecoms engineer
telecom engineer
telecommunications engineer
information systems engineer
radio engineer"
,,,,"instructor in adult literacy and numeracy
teacher of adult literacy and numeracy
adult literacy instructor
adult literacy teacher
adult literacy lecturer
literacy tutor
teacher of adult literacy
skills for life teacher
adult literacy and numeracy instructor"
,,,,"footwear quality executive
footwear quality assurance manager
footwear quality control manager
footwear quality coordinator
footwear quality manager"
,,,,"fire sprinkler fitter
fire safety system fitter
fire protection system fitter
fire safety system installer
sprinkler technician
sprinkler system fitter
fire protection system installer
irrigation technician
sprinkler installer"
,,,,"electronic and telecommunications equipment and parts logistics manager
electronic and telecommunications equipment and parts supply chain manager
electronic and telecommunications equipment and parts supply chain planner
electronic and telecommunications equipment and parts distribution manager
graduate electronic and telecommunications equipment and parts distribution manager
senior electronic and telecommunications equipment and parts distribution manager
trainee electronic and telecommunications equipment and parts distribution manager
assistant electronic and telecommunications equipment and parts distribution manager
electronic and telecommunications equipment and parts distribution planner
electronic and telecommunications equipment and parts logistics planner"
,,,,"teacher in special educational needs in secondary schools
special educational needs teacher high school
high school special education teacher
secondary school SEN teacher
secondary school special educational needs teacher
high school special needs teacher
special educational needs teacher in high school
secondary school special education teacher
high school SEN teacher
high school special educational needs teacher"
,,,,"live event production manager
performance production manager
theatre production manager
theater production manager
film production manager"
,,,,"metal development managers
facility manager
metal engineer
operations manager
metal development engineers
development engineer
metal planning engineer
plant manager
metal production manager
metal development experts
site manager"
,,,,"light aircraft engine assembler
piston aircraft engine assembler
military aircraft engine builder
civilian aircraft engine builder
plane engine assembler
civilian aircraft engine assembler
airplane engine builder
jet aircraft engine assembler
aeroplane engine builder
aeroplane engine assembler
military aircraft engine assembler
jet aircraft engine builder
airplane engine assembler
aircraft engine assembler
helicopter engine assembler
piston aircraft engine builder
rotary aircraft engine assembler
rotary aircraft engine builder
helicopter engine builder
plane engine builder
light aircraft engine builder"
,,,,"drilling & blasting engineer
mine engineer
drilling and blasting engineer
mine planning engineer
quarry engineer
explosives engineer
drilling and blasting supervisor
drill and blast engineer
quarry manager
mining engineer
drill & blast engineer"
,,,,"audiology shop manager
hearing aid shop manager
audiology retail service manager
audiology centre manager
audiology equipment shop manager
retail audiologist
audiology equipment retail  manager
audiology sales manager
hearing help shop manager"
,,,,"hardware, paint and glass specialised seller
hardware and paint specialized seller
hardware and paint DIY specialised seller
paint and accessories salesperson
hardware, paint and glass salesperson
home decorating salesperson
glass and mirror specialised seller
hardware salesperson
home decorating specialised seller
paint and accessories specialised seller
hardware and paint do it yourself specialised seller
hardware and paint DIY salesperson
hardware specialised seller
glass and mirror salesperson
hardware and paint do it yourself salesperson"
,,,,"primary school music teacher
primary school educator
educator in primary school
primary education teacher
teacher in a primary school
music teacher primary school
educator in primary education
teacher in primary education
elementary school teacher
primary education professional"
,,,,"tram driver
light rail vehicle driver
light rail train driver
driver of light rail trains
driver of trams
metro train driver"
