"ID","ORIGINURI","UUIDHISTORY","CODE","SCOPENOTE","PREFERREDLABEL","ALTLABELS","DESCRIPTION"
"687671b3ebd2bf665349a59e","http://data.europa.eu/esco/skill/ab877a24-335d-4676-b366-c5c06651481a","3bec3d4f-081c-4aad-9d99-e7743304f1f8
71b2df24-06b2-4792-9c1e-eff9643ab68a
cae78a90-fefc-45f1-a3d1-258670e55fbc
f92e73a5-4a2a-4825-8d39-89eec38aa8fd
8154cb0b-f8a2-4fb1-8b1a-629a6c72eb69","S1.0.0","Excludes:
- Communication or interaction with animals","communication, collaboration and creativity","communication and creativity
communication, collaboration and creativity","Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others."
"687671b3ebd2bf665349a59f","http://data.europa.eu/esco/skill/ab99d9a7-62eb-407b-92f2-bf7992a82004","9f5c6849-0b6b-481b-a5f9-0f3cd333f718
8d2aea77-c5f8-4620-b285-610d7bfd618a
c6060635-34df-40ad-91e0-30a52105fac8
26a35596-96b9-4d32-b80e-a1e63b028e53
36f0628c-52ce-4d58-8641-cbdf6e9029c8","S1.12.3","Examples:
- devise choreography
- create sculptures
- design a music show","creating artistic designs or performances","creating artistic designs or performances","Creating original works of art such as pictures and sculptures, or creating artistic performances such as dance and drama for live or recorded performance."
"687671b3ebd2bf665349a5a0","http://data.europa.eu/esco/skill/ac88053e-c9b5-43cf-ace1-f506bcfdc8cb","0f967261-de78-4732-b902-93ead6914bf7
21a0ccc5-1686-4a68-92fc-d07a4f5fc258
84f3f981-a7a8-4300-a5fa-aabf44827505
2dd0bed7-2757-4018-9052-a5242718bb55
72e9b94c-24ff-40bd-8e06-6fa8350159d6","S1.14","","performing and entertaining","performing and entertaining","Undertaking activities to entertain an audience or improve personal abilities."
"687671b3ebd2bf665349a5a1","http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9","64222e2f-9fe3-4479-81f2-7540727bc4c6
aa79b4d5-2b3f-4c81-a3a9-8c169e7554b7
9fa600b2-c5c4-4e93-9358-3860c1b2824e
fa89e8aa-05b4-4876-9a52-c582b67fc243
6e42e1ab-5b58-48bb-93c1-296066843412","S1.9.1","Examples:
- troubleshoot
- identify improvement actions
- create solutions to problems

Excludes:
- repair and resolve technical problems with machinery and equipment
- use ICT tools for problem solving","developing solutions","developing solutions","Developing solutions to practical, operational or conceptual problems which arise in the execution of work in a wide range of contexts."
"687671b3ebd2bf665349a5a2","http://data.europa.eu/esco/skill/ad326fa7-f2e9-4421-8426-bc0c2e167143","546312c5-469c-4677-af28-d47d04b07431
5b338241-9ac3-4ab1-99bc-8c38edf0efc2
12fd91e2-4496-4bf6-a873-2e10b0671317
75cfcb3b-b812-4180-9c9b-0c33ea0f8a83
855b13ad-4340-4ec4-8461-35fdc4121a1a","S1.4.3","Examples:
- Present evidence
- Represent clients in court","presenting information in legal proceedings","presenting information in legal proceedings","Testifying, presenting evidence or representing clients during legal proceedings."
"687671b3ebd2bf665349a5a3","http://data.europa.eu/esco/skill/af84405b-896d-4ed3-9462-077ea9a2a188","9cd55332-0839-4e08-a09b-ff2928b13832
4fd3c639-c3b3-4fc3-8f9e-9b10fd114778
e60e3ef5-bfe2-4fda-9e12-cc55e40bdf24
48d4ee2f-738a-4ef3-bd16-476823ec3852
a8fc43d3-0ef2-47af-8f36-43ec997ed7b1","S1.2.5","Examples:
- contact event speakers
- liaise with auditors","collaborating and liaising","collaborating and liaising","Reaching out to outside agencies, clients and other organisational units to facilitate exchange of information. Collaborating and engaging with external and internal agencies and departments to adapt the timing and nature of the activities."
"687671b3ebd2bf665349a5a4","http://data.europa.eu/esco/skill/afe3d82e-4a40-4aa4-a4e9-a6097c4a391e","a3080fb1-46a2-4fdc-8887-1156f09366e6
05b43899-0491-496a-921d-72224e627722
b6cd6af7-4ef0-46bd-9c58-64e8730d4e25
ca6d7c42-914f-4478-a094-3a494d97aa56
b41a23f6-2c15-44cd-a845-b50f107c287a","S1.13.0","Excludes:
- General writing abilities/literacy
- Writing computer programmes/coding","writing and composing","writing and composing","Writing text or composing music, creating original work with regard to format, style and content."
"687671b3ebd2bf665349a5a5","http://data.europa.eu/esco/skill/b036eb5c-6a48-45b9-b2c6-f42f9e336204","3da15463-41bc-433d-883a-e1fea03d9849
4407dc1b-0fcf-40d2-86f9-a815014644bf
908bb7f8-c2be-4a22-a78f-ca9d21495091
eb4a1fac-ee72-48be-b423-899de04b752f
10e3fa86-2cef-417f-84ba-c4ae6cf3e429","S1.5.7","Examples:
- advise on efficiency improvements
- advise on personnel management
- advise on waste management procedures","advising on business or operational matters","advising on business or operational matters","Providing information and advice to improve the efficiency of production and business operations."
"687671b3ebd2bf665349a5a6","http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b","644a58af-52c9-4919-b310-60caadc402aa
5c251b0b-4ccd-4ba6-8e2b-0a2f138fd079
c516db81-3dbf-4e4e-843f-919cbe06d6ff
3ad2b9d2-8676-4085-b9a3-7aa5342e65ef
831b9ed0-121c-4280-b19f-46c1361c868a","S5.6.3","Excludes:
- Computer programming
- Resolving computer problems

Examples:
- Use CAD software","using computer aided design and drawing tools","using computer aided design and drawing tools","Using ICT software and hardware to collaborate and communicate with others, creating and editing new content (from word processing to images and video) and solving conceptual, technical and practical problems."
"687671b3ebd2bf665349a5a7","http://data.europa.eu/esco/skill/b2c688b0-9106-466d-8b88-eafdfe608e7d","e3c38d06-b062-49a0-addd-642fd6d4e5b6
88c9a6d5-6dfa-4921-8bb3-6eeeaded0335
94da7429-b9bf-4b58-a2a6-054be78365dc
b93d6430-f845-4e3e-b25c-9042d7606d3c
da168c13-470e-4e64-be38-7078e94da90d","S1.11.4","Examples:
- design safety equipment
- design pharmaceutical manufacturing systems
- design buildings
- create new landscape designs","designing structures or facilities","designing structures or facilities","Creating a plan or specification for the design and development of physical structures such as buildings, urban infrastructure, or open spaces."
