PARENTOBJECTTYPE,PARENTID,CHILDID,CHILDOBJECTTYPE
ISCOGroup,key_130,key_135,ISCOGroup
ISCOGroup,key_135,key_136,ISCOGroup
ISCOGroup,key_135,key_137,ISCOGroup
ISCOGroup,key_135,key_138,ISCOGroup
ISCOGroup,key_135,key_139,ISCOGroup
ISCOGroup,key_130,key_140,ISCOGroup
ISCOGroup,key_140,key_141,ISCOGroup
ISCOGroup,key_140,key_142,ISCOGroup
ISCOGroup,key_140,key_143,ISCOGroup
ISCOGroup,key_140,key_144,ISCOGroup
ISCOGroup,key_58,key_145,ISCOGroup
ISCOGroup,key_145,key_146,ISCOGroup
ISCOGroup,key_146,key_147,ISCOGroup
ISCOGroup,key_146,key_148,ISCOGroup
ISCOGroup,key_146,key_149,ISCOGroup
ISCOGroup,key_146,key_150,ISCOGroup
ISCOGroup,key_146,key_151,ISCOGroup
ISCOGroup,key_145,key_152,ISCOGroup
ISCOGroup,key_152,key_153,ISCOGroup
ISCOGroup,key_152,key_154,ISCOGroup
ISCOGroup,key_152,key_155,ISCOGroup
ISCOGroup,key_152,key_156,ISCOGroup
ISCOGroup,key_58,key_157,ISCOGroup
ISCOGroup,key_157,key_158,ISCOGroup
ISCOGroup,key_158,key_159,ISCOGroup
ISCOGroup,key_158,key_160,ISCOGroup
ISCOGroup,key_158,key_161,ISCOGroup
ISCOGroup,key_157,key_162,ISCOGroup
ISCOGroup,key_162,key_163,ISCOGroup
ISCOGroup,key_162,key_164,ISCOGroup
ISCOGroup,key_157,key_165,ISCOGroup
ISCOGroup,key_165,key_166,ISCOGroup
ISCOGroup,key_165,key_167,ISCOGroup
ISCOGroup,key_165,key_168,ISCOGroup
ISCOGroup,key_165,key_169,ISCOGroup
ISCOGroup,key_165,key_170,ISCOGroup
ISCOGroup,key_165,key_171,ISCOGroup
ISCOGroup,key_157,key_172,ISCOGroup
ISCOGroup,key_172,key_173,ISCOGroup
ISCOGroup,key_172,key_174,ISCOGroup
ISCOGroup,key_172,key_175,ISCOGroup
