OCCUPATIONOBJECTTYPE,REQUIRING,RELATIONTYPE,REQUIRED
ESCOOccupation,ee7e0635-58ae-458a-8cc4-4b697b42795c,optional,963084bd-2268-4f17-ba1e-48a92ab06179
ESCOOccupation,59dc0ad1-c519-4f42-b20c-308b9b229025,optional,f77d4d12-edc3-43b8-89c9-884444c7b0ec
ESCOOccupation,6373d538-240d-4d57-8fb0-3a4cf5f08e7c,optional,87d9ba77-597f-45c9-ac5a-2a31d8e20c0b
ESCOOccupation,6373d538-240d-4d57-8fb0-3a4cf5f08e7c,optional,74903791-2b0f-490f-8fee-a18c02a39022
ESCOOccupation,4805e0d2-e5f6-4630-94a6-d5a932336f4a,optional,569577bb-0a3c-4954-873f-d5548b806d39
ESCOOccupation,085dd559-72c3-4ac0-9a7e-6ad9690374d2,optional,a8929e20-2b66-4c67-85ad-abe6eb98df5e
ESCOOccupation,c94ae38a-6319-462d-916d-a7aebdbc4c14,optional,8603a0f0-f48e-46b3-95f3-63c9535a0f57
ESCOOccupation,6a3bff4d-a420-4779-8b9e-33b978072031,optional,c0ebce36-d93f-4c9f-be20-deb3b4800f96
ESCOOccupation,68c91d70-e86e-4970-87db-e9ac7c4809a5,optional,af073d22-c0d5-462d-b743-aa1ee668972c
ESCOOccupation,b82b617a-7361-4336-a8fb-2bec3a85dd96,optional,fe72661b-d385-4804-ac14-8158b55a0903
ESCOOccupation,71e98327-747d-449b-a5d9-b4bc26129d7a,optional,5bab7baa-2efa-4fdf-963b-576a28aaef06
ESCOOccupation,499a35ea-018e-4ec9-881f-ab6228af32c2,optional,90834d7d-3c30-4aa8-a99d-c66080edd6ce
ESCOOccupation,499a35ea-018e-4ec9-881f-ab6228af32c2,optional,cad888eb-91f0-44db-9a14-5ea9f4cf996c
ESCOOccupation,499a35ea-018e-4ec9-881f-ab6228af32c2,optional,df3b9e92-e9fe-442b-a753-31384c717f9b
ESCOOccupation,a58639e6-05b4-4ba8-a4e0-8a279e5ba9ac,optional,9cce24e6-f535-4c45-89a6-410d09839055
ESCOOccupation,7a176250-de4a-4330-8751-9a44998237c2,optional,66fad304-7412-4bd1-b07a-a808a8e4dfab
ESCOOccupation,7a176250-de4a-4330-8751-9a44998237c2,optional,e63e2356-ba6f-4b99-a340-d4a26bc5cc4f
ESCOOccupation,7a176250-de4a-4330-8751-9a44998237c2,optional,598259f2-acad-4d29-a821-a108add158f8
ESCOOccupation,56d34dbb-3b57-4141-bb83-722220f8176b,optional,16c42e8c-4cd9-485b-a1e9-c491cc21bdef
ESCOOccupation,56d34dbb-3b57-4141-bb83-722220f8176b,optional,a00665e7-2815-41be-b919-6441dc686f4e
ESCOOccupation,cc118f86-c1de-4f7d-a838-1d20ed49ff73,optional,d6505221-ca86-42f3-b79e-774fdbf21f03
ESCOOccupation,cc118f86-c1de-4f7d-a838-1d20ed49ff73,optional,bbd955d0-d006-4e18-a49a-447c12d03afe
ESCOOccupation,d302ae4a-ff81-4b6c-bbbf-c175df2edbed,optional,bcc227e1-66fd-4ecb-8192-7cabcd5431cc
ESCOOccupation,cc802d7a-d404-484c-a6c2-5f0585da847f,optional,83754c0f-8d1a-404b-a585-8dd35d40b154
ESCOOccupation,5456d7dc-f7ca-4c26-8eec-a7b1e73f253c,optional,c536f054-6315-46cf-afdb-aee2f668222c
ESCOOccupation,ffe3cb6e-312d-422b-9d89-67f8eed07965,optional,9e31f39a-7fcd-421f-9ce4-e7581b437b6c
ESCOOccupation,a9139136-a33a-43eb-a5d3-fd40f1562c99,optional,11ab5009-ef93-47eb-9e77-c4fee347fec4
ESCOOccupation,80c092f8-8f86-48a1-a440-322fec37a7bb,optional,921fb8b9-3fcf-4bcc-8b08-1ed4a2a76dc9
ESCOOccupation,80c092f8-8f86-48a1-a440-322fec37a7bb,optional,57c08941-a656-4825-b808-b259b6bf404f
ESCOOccupation,80c092f8-8f86-48a1-a440-322fec37a7bb,optional,5f070311-b210-49ea-865b-619f9406bf4b
ESCOOccupation,80c092f8-8f86-48a1-a440-322fec37a7bb,optional,e1eddf15-339c-4f6e-b8d1-4390ce582895
ESCOOccupation,9ea85d0a-6ea2-417f-b484-98535c4230e7,optional,d1eac322-d0c7-4976-aba5-4bab8647d043
ESCOOccupation,ca1ed2df-88d1-4767-a345-f597f56ab368,optional,3a2a192a-7f73-4721-b40a-1b6a8602f858
ESCOOccupation,beaebd62-8bcb-4f16-b7d1-88d89968e3e9,optional,7c5e292c-a34d-45fe-9640-a42b3fac8ac9
ESCOOccupation,889bd3d1-0d3d-4b0e-9143-89fb51b8662d,optional,7b8e315c-a4cf-4d91-a6cf-861a5d832d62
ESCOOccupation,889bd3d1-0d3d-4b0e-9143-89fb51b8662d,optional,e616a783-7314-4d5e-bccf-e7b8a8200cdd
ESCOOccupation,1a94d01b-41ce-4a7f-8f7e-a12d385f0282,optional,fcf6138b-774b-47de-a49f-6e8859538a1a
ESCOOccupation,62184892-2bbc-4153-a846-4f9f65755da1,optional,9656caab-a353-4c95-acbd-5c3bac693052
ESCOOccupation,c332b406-f945-42c2-8c9f-5ce51c3c5c8d,optional,921fb8b9-3fcf-4bcc-8b08-1ed4a2a76dc9
