PARENTOBJECTTYPE,PARENTUUID,CHILDUUID,CHILDOBJECTTYPE
SkillGroup,61c25471-96f5-46c4-a17f-df2b22c882f4,9edfba6d-f73e-41bc-8077-2a98eae91e3c,SkillGroup
SkillGroup,9edfba6d-f73e-41bc-8077-2a98eae91e3c,f17ee21d-f3fb-4b71-9b6e-e79a06a206ab,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,6b0876f4-cf0b-4771-9959-3d2d9f08a872,SkillGroup
SkillGroup,6b0876f4-cf0b-4771-9959-3d2d9f08a872,a1437d67-f9f0-40c4-ab5e-0e9c06eae23b,SkillGroup
SkillGroup,a1437d67-f9f0-40c4-ab5e-0e9c06eae23b,31181508-4c53-4050-ae99-b15a420e23d1,SkillGroup
SkillGroup,6b0876f4-cf0b-4771-9959-3d2d9f08a872,9c0e4245-5d00-4d16-8419-7abd624e8a4a,SkillGroup
SkillGroup,9c0e4245-5d00-4d16-8419-7abd624e8a4a,b080cc9a-c3c5-46e1-ae52-a99df3efb5cd,SkillGroup
SkillGroup,9c0e4245-5d00-4d16-8419-7abd624e8a4a,22503f90-6bd2-450d-8162-39fa186ef42d,SkillGroup
SkillGroup,9c0e4245-5d00-4d16-8419-7abd624e8a4a,66be3f43-7bb3-40fa-8515-62fd8abbff83,SkillGroup
SkillGroup,9c0e4245-5d00-4d16-8419-7abd624e8a4a,366c9723-2248-4972-9e04-9dfe3b594fd4,SkillGroup
SkillGroup,9c0e4245-5d00-4d16-8419-7abd624e8a4a,564f3592-85fb-49fe-b2fa-a55422248104,SkillGroup
SkillGroup,9c0e4245-5d00-4d16-8419-7abd624e8a4a,01766517-e01b-4820-99f3-4d0a7c50d98e,SkillGroup
SkillGroup,6b0876f4-cf0b-4771-9959-3d2d9f08a872,40e69719-978a-4599-8826-07567a3304f6,SkillGroup
SkillGroup,40e69719-978a-4599-8826-07567a3304f6,10b7b039-9edb-459c-a0bb-b1b49842de3c,SkillGroup
SkillGroup,40e69719-978a-4599-8826-07567a3304f6,a9fe56f5-eb25-4eb2-8f5f-16a76c9e38b2,SkillGroup
SkillGroup,40e69719-978a-4599-8826-07567a3304f6,9ff2cd66-9a26-4332-aa7c-fdff9e182918,SkillGroup
SkillGroup,40e69719-978a-4599-8826-07567a3304f6,58bca04d-c61c-4ddf-8360-ef005327a408,SkillGroup
SkillGroup,6b0876f4-cf0b-4771-9959-3d2d9f08a872,1a2aeb83-04b3-483f-9fd8-728591cbf1ff,SkillGroup
SkillGroup,1a2aeb83-04b3-483f-9fd8-728591cbf1ff,9e83c279-5dc0-457e-b58c-94efe794d896,SkillGroup
SkillGroup,6b0876f4-cf0b-4771-9959-3d2d9f08a872,3c7cc314-51d0-4c47-832a-4ebc628877d6,SkillGroup
SkillGroup,3c7cc314-51d0-4c47-832a-4ebc628877d6,608ba5ad-adbb-4985-9813-e50a184d1701,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,ed6556ad-da5d-4a73-8772-703396410ff7,SkillGroup
SkillGroup,ed6556ad-da5d-4a73-8772-703396410ff7,e65160d2-8593-4915-8225-b82631a98c42,SkillGroup
SkillGroup,e65160d2-8593-4915-8225-b82631a98c42,5fe0a47b-6909-4c4b-8faa-3cd4bee0ddee,SkillGroup
