ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0113,key_636,"9f6865c1-6af1-4414-8f31-bc0b9555e126
b6a11a69-41de-4b3d-b2c2-0991c19ef4a2",,teacher training without subject specialisation,,"Training for teachers without subject specialisation is the study of the theories, methods and practice of providing children between approximately 5 and 15 years of age with the fundamental skills in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, social science etc. and laying the foundation for lifelong learning. Subject specialisation is stressed less than in detailed field 0114 'Teacher training with subject specialisation'. The study of teaching children with special needs is included in this detailed field, likewise the study of teaching adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.
Programmes and qualifications with the following main content are classified here:
Class teacher training
Indigenous teacher training
Primary teaching
Teacher training for children with special needs

=== Inclusions
The study of teaching adults basic literacy and numeracy skills is included here. Teacher's aide (teaching assistant) is also included here.

=== Exclusions
Teacher training with subject specialisation even if intended for the teaching of children in primary or lower secondary education is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",
http://data.europa.eu/esco/isced-f/0114,key_637,"a5670a3d-eb47-4fbf-84be-1e02c17bba68
df961861-53a1-4e89-b57d-b80ddc5fd5fe",,teacher training with subject specialisation,,"Teacher training with subject specialisation is the study of the theories, methods and practice of teaching a specific subject, mostly at secondary or higher levels of education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.
Programmes and qualifications with the following main content are classified here:
Teacher training - arts and crafts
Teacher training - commercial subjects
Teacher training - music
Teacher training - nursing
Teacher training - physical training
Teacher training - second languages
Teacher training - specific theoretical subjects, e.g. English, mathematics, history
Teacher training - technical subjects
Teacher training - vocational subjects
Training of driving instructors
Training of trainers

=== Inclusions
Teacher training courses for university teachers, instructors of work place and working life skills and in practical and artistic subjects are included here.

=== Exclusions
Training of sports trainers is excluded from this detailed field and included in detailed field 1014 'Sports'.",
http://data.europa.eu/esco/isced-f/0119,key_638,"7aa9fb8d-e9fa-4168-8e27-918c0a6ee1d2
61ec0849-50b6-4301-bdb4-c8b1603a6b57",,education not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/018,key_639,"002b2269-d2ca-49b2-bb0e-800673489ddb
cd989d12-934f-453c-8118-94ebe065c990",,inter-disciplinary programmes and qualifications involving education,,,
http://data.europa.eu/esco/isced-f/0188,key_640,"e11ef01d-623c-485d-b26d-241ca8478c0b
4d5023ba-5dcf-483a-a82e-28c8df0d0b13",,inter-disciplinary programmes and qualifications involving education,,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to education are classified here.,
http://data.europa.eu/esco/isced-f/02,key_641,"8bc3e340-6624-4598-8e55-da95df6980fe
44c9e9f6-d706-4680-8cb1-97ba8da82f15",,arts and humanities,,,
http://data.europa.eu/esco/isced-f/020,key_642,"0e8c3be9-8302-4db7-a77b-6c90398a7831
909df210-f5d6-4449-9b42-3b7b2da20b17",,arts and humanities not further defined,,,
http://data.europa.eu/esco/isced-f/0200,key_643,"5353fd6e-8a9a-4378-9038-45842bbbbfb3
19cc51e9-7f57-40b9-8db4-c4c5bb151e4c",,arts and humanities not further defined,,,
http://data.europa.eu/esco/isced-f/021,key_644,"4433f625-4ba7-411a-abb1-94ee2f37d2f3
b4cd9f5d-fff2-4e6f-94cc-ce476445a2d4",,arts,,,
http://data.europa.eu/esco/isced-f/0210,key_645,"e4db7332-bbc1-4748-b766-8deffe7f8711
ce8e393b-d0f5-4f83-9d1d-9b46d522e952",,arts not further defined,,,
